,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccines
159,Portugal,13791078.0,7913736.0,6817892.0,135.25,77.61,66.86,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
160,Qatar,4179382.0,2244116.0,1935266.0,145.06,77.89,67.17,"Moderna, Pfizer/BioNTech"
161,Romania,9613888.0,5137362.0,5012813.0,49.97,26.7,26.06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
162,Russia,74425863.0,41258604.0,33167259.0,51.0,28.27,22.73,"EpiVacCorona, Sputnik V"
163,Rwanda,1073302.0,680470.0,392832.0,8.29,5.25,3.03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
164,Saint Helena,7892.0,4361.0,3531.0,130.0,71.83,58.16,Oxford/AstraZeneca
165,Saint Kitts and Nevis,44124.0,24030.0,20094.0,82.95,45.18,37.78,Oxford/AstraZeneca
166,Saint Lucia,60032.0,33702.0,26330.0,32.69,18.35,14.34,Oxford/AstraZeneca
167,Saint Vincent and the Grenadines,25833.0,15799.0,10034.0,23.28,14.24,9.04,Oxford/AstraZeneca
168,Samoa,111250.0,79072.0,32178.0,56.07,39.85,16.22,Oxford/AstraZeneca
169,San Marino,46069.0,23709.0,23709.0,135.74,69.86,69.86,"Pfizer/BioNTech, Sputnik V"
170,Sao Tome and Principe,43987.0,32114.0,11873.0,20.07,14.65,5.42,Oxford/AstraZeneca
171,Saudi Arabia,32940547.0,21109035.0,11831512.0,94.62,60.63,33.99,"Oxford/AstraZeneca, Pfizer/BioNTech"
172,Scotland,7564227.0,4065970.0,3498257.0,138.39,74.39,64.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
173,Senegal,1451106.0,1109720.0,341386.0,8.67,6.63,2.04,"Oxford/AstraZeneca, Sinopharm/Beijing"
174,Serbia,5649434.0,2881963.0,2766182.0,83.02,42.35,40.65,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
175,Seychelles,143490.0,73777.0,69713.0,145.91,75.02,70.89,"Oxford/AstraZeneca, Sinopharm/Beijing"
176,Sierra Leone,225380.0,82145.0,15170.0,2.83,1.03,0.19,"Oxford/AstraZeneca, Sinopharm/Beijing"
177,Singapore,8547113.0,4507848.0,4169030.0,146.1,77.05,71.26,"Moderna, Pfizer/BioNTech"
178,Sint Maarten (Dutch part),47084.0,24797.0,22287.0,109.8,57.83,51.97,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
179,Slovakia,4440531.0,2331722.0,2108809.0,81.33,42.71,38.63,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
180,Slovenia,1826160.0,964120.0,862040.0,87.84,46.38,41.47,"Oxford/AstraZeneca, Pfizer/BioNTech"
181,Solomon Islands,63320.0,48883.0,14437.0,9.22,7.12,2.1,Oxford/AstraZeneca
182,Somalia,279869.0,186595.0,87135.0,1.76,1.17,0.55,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
183,South Africa,9962111.0,7702298.0,4482893.0,16.8,12.99,7.56,"Johnson&Johnson, Pfizer/BioNTech"
184,South Korea,33988671.0,24306127.0,10812327.0,66.29,47.41,21.09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
