,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccines
94,Ireland,6456918.0,3543634.0,3141316.0,130.77,71.77,63.62,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
95,Isle of Man,125632.0,65034.0,60598.0,147.75,76.48,71.26,"Oxford/AstraZeneca, Pfizer/BioNTech"
96,Israel,12503731.0,5871448.0,5431121.0,144.46,67.83,62.75,"Moderna, Pfizer/BioNTech"
97,Italy,74556087.0,41104041.0,34857420.0,123.31,67.98,57.65,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
98,Jamaica,391076.0,256890.0,135115.0,13.21,8.68,4.56,"Johnson&Johnson, Oxford/AstraZeneca"
99,Japan,114664353.0,64673876.0,49990477.0,90.66,51.14,39.53,"Moderna, Pfizer/BioNTech"
100,Jersey,145657.0,75249.0,70408.0,144.11,74.45,69.66,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
101,Jordan,5953209.0,3306810.0,2646399.0,58.35,32.41,25.94,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
102,Kazakhstan,11003032.0,6183445.0,4819587.0,58.6,32.93,25.67,"QazVac, Sinopharm/HayatVax, Sputnik V"
103,Kenya,2154825.0,1393905.0,760920.0,4.01,2.59,1.42,"Oxford/AstraZeneca, Sputnik V"
104,Kiribati,13970.0,13970.0,,11.7,11.7,,Oxford/AstraZeneca
105,Kosovo,601701.0,388422.0,213279.0,31.13,20.1,11.03,Oxford/AstraZeneca
106,Kuwait,2375455.0,2668082.0,923307.0,55.62,62.48,21.62,Pfizer/BioNTech
107,Kyrgyzstan,932744.0,618384.0,312948.0,14.3,9.48,4.8,"Sinopharm/Beijing, Sputnik V"
108,Laos,3371785.0,1828039.0,1543746.0,46.34,25.13,21.22,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
109,Latvia,1441508.0,821688.0,728979.0,76.42,43.56,38.65,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
110,Lebanon,2257960.0,1254059.0,1003901.0,33.08,18.37,14.71,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
111,Lesotho,72948.0,36637.0,36311.0,3.41,1.71,1.69,Oxford/AstraZeneca
